_id,timestamp,message.hostname,message.imu.left.accelerations.x,message.imu.left.accelerations.y,message.imu.left.accelerations.z,message.imu.left.gyroscopes.x,message.imu.left.gyroscopes.y,message.imu.left.gyroscopes.z,message.imu.middle.accelerations.x,message.imu.middle.accelerations.y,message.imu.middle.accelerations.z,message.imu.middle.gyroscopes.x,message.imu.middle.gyroscopes.y,message.imu.middle.gyroscopes.z,message.imu.right.accelerations.x,message.imu.right.accelerations.y,message.imu.right.accelerations.z,message.imu.right.gyroscopes.x,message.imu.right.gyroscopes.y,message.imu.right.gyroscopes.z,message.timecode,message.timestamp,message.values[0],message.values[1],message.values[2],message.values[3],message.values[4],message.values[5],message.values[6],message.values[7],message.values[8],message.values[9],message.values[10],message.values[11],message.values[12],message.values[13],message.values[14],message.values[15],message.values[16],message.values[17]
68f65b23c658f28f7d09377a,2025-10-20T15:54:11.818Z,raspberrypi,0.92,39.19,9.27,-43.76,11.28,0.22,9.83,-0.01,0,0.02,39.19,14.92,10.04,0,-0.06,-0.01,0.13,-0.25,33111.91,2025-10-06T07:11:51.912Z,0.92,39.19,9.27,-43.76,11.28,0.22,10.04,0,-0.06,-0.01,0.13,-0.25,9.83,-0.01,0,0.02,39.19,14.92
68f65b23c658f28f7d09377c,2025-10-20T15:54:11.827Z,raspberrypi,0.92,39.19,9.27,-43.76,11.28,0.22,9.83,-0.01,0,0.02,39.19,14.92,10.04,0,-0.06,-0.01,0.13,-0.25,33111.92,2025-10-06T07:11:51.920Z,0.92,39.19,9.27,-43.76,11.28,0.22,10.04,0,-0.06,-0.01,0.13,-0.25,9.83,-0.01,0,0.02,39.19,14.92
68f65b23c658f28f7d09377e,2025-10-20T15:54:11.836Z,raspberrypi,-0.01,39.19,14.92,39.19,9.27,-43.76,0.14,-0.24,9.88,-0.02,0,0.02,11.28,0.23,10.04,-0.01,-0.05,-0.01,33111.92,2025-10-06T07:11:51.928Z,-0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.23,10.04,-0.01,-0.05,-0.01,0.14,-0.24,9.88,-0.02,0,0.02
68f65b23c658f28f7d093781,2025-10-20T15:54:11.843Z,raspberrypi,-0.01,39.19,14.92,39.19,9.27,-43.76,0.14,-0.24,9.88,-0.02,0,0.02,11.28,0.23,10.04,-0.01,-0.05,-0.01,33111.93,2025-10-06T07:11:51.936Z,-0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.23,10.04,-0.01,-0.05,-0.01,0.14,-0.24,9.88,-0.02,0,0.02
68f65b23c658f28f7d093784,2025-10-20T15:54:11.850Z,raspberrypi,27,9.76,-0.02,0.01,0,39.19,10.09,0.01,-0.05,0.01,0.05,-0.22,14.92,39.19,9.27,-43.76,11.28,0.18,33111.94,2025-10-06T07:11:51.945Z,27,9.76,-0.02,0.01,0,39.19,14.92,39.19,9.27,-43.76,11.28,0.18,10.09,0.01,-0.05,0.01,0.05,-0.22
68f65b23c658f28f7d093786,2025-10-20T15:54:11.858Z,raspberrypi,27,9.76,-0.02,0.01,0,39.19,10.09,0.01,-0.05,0.01,0.05,-0.22,14.92,39.19,9.27,-43.76,11.28,0.18,33111.95,2025-10-06T07:11:51.953Z,27,9.76,-0.02,0.01,0,39.19,14.92,39.19,9.27,-43.76,11.28,0.18,10.09,0.01,-0.05,0.01,0.05,-0.22
68f65b23c658f28f7d093788,2025-10-20T15:54:11.866Z,raspberrypi,0,0.13,-0.26,9.8,-0.01,-0.02,11.28,0.18,10,0.01,-0.07,-0.01,0.01,39.19,14.92,39.19,9.27,-43.76,33111.96,2025-10-06T07:11:51.961Z,0,0.13,-0.26,9.8,-0.01,-0.02,0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.18,10,0.01,-0.07,-0.01
68f65b23c658f28f7d09378a,2025-10-20T15:54:11.874Z,raspberrypi,0,0.13,-0.26,9.8,-0.01,-0.02,11.28,0.18,10,0.01,-0.07,-0.01,0.01,39.19,14.92,39.19,9.27,-43.76,33111.96,2025-10-06T07:11:51.969Z,0,0.13,-0.26,9.8,-0.01,-0.02,0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.18,10,0.01,-0.07,-0.01
68f65b23c658f28f7d09378d,2025-10-20T15:54:11.882Z,raspberrypi,0,0.13,-0.26,9.8,-0.01,-0.02,11.28,0.18,10,0.01,-0.07,-0.01,0.01,39.19,14.92,39.19,9.27,-43.76,33111.97,2025-10-06T07:11:51.977Z,0,0.13,-0.26,9.8,-0.01,-0.02,0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.18,10,0.01,-0.07,-0.01
68f65b23c658f28f7d09378f,2025-10-20T15:54:11.890Z,raspberrypi,39.19,9.27,-43.76,11.28,0.17,10.07,0,0.01,0.01,39.19,14.92,39.19,0,-0.04,0.01,0.15,-0.28,9.88,33111.98,2025-10-06T07:11:51.985Z,39.19,9.27,-43.76,11.28,0.17,10.07,0,-0.04,0.01,0.15,-0.28,9.88,0,0.01,0.01,39.19,14.92,39.19
68f65b23c658f28f7d093792,2025-10-20T15:54:11.898Z,raspberrypi,39.19,9.27,-43.76,11.28,0.17,10.07,0,0.01,0.01,39.19,14.92,39.19,0,-0.04,0.01,0.15,-0.28,9.88,33111.99,2025-10-06T07:11:51.993Z,39.19,9.27,-43.76,11.28,0.17,10.07,0,-0.04,0.01,0.15,-0.28,9.88,0,0.01,0.01,39.19,14.92,39.19
68f65b23c658f28f7d093794,2025-10-20T15:54:11.906Z,raspberrypi,0,39.19,14.92,39.19,9.27,-43.76,0.07,-0.28,9.88,0.01,-0.01,0,11.28,0.18,10.01,0,-0.06,-0.01,33112,2025-10-06T07:11:52.001Z,0,39.19,14.92,39.19,9.27,-43.76,11.28,0.18,10.01,0,-0.06,-0.01,0.07,-0.28,9.88,0.01,-0.01,0
68f65b23c658f28f7d093796,2025-10-20T15:54:11.914Z,raspberrypi,0,39.19,14.92,39.19,9.27,-43.76,0.07,-0.28,9.88,0.01,-0.01,0,11.28,0.18,10.01,0,-0.06,-0.01,33112,2025-10-06T07:11:52.009Z,0,39.19,14.92,39.19,9.27,-43.76,11.28,0.18,10.01,0,-0.06,-0.01,0.07,-0.28,9.88,0.01,-0.01,0
68f65b23c658f28f7d093799,2025-10-20T15:54:11.928Z,raspberrypi,-0.02,0,-0.01,39.19,14.92,39.19,-0.07,-0.01,0.15,-0.22,9.9,-0.01,9.27,-43.76,11.28,0.19,10.02,0.02,33112.01,2025-10-06T07:11:52.018Z,-0.02,0,-0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.19,10.02,0.02,-0.07,-0.01,0.15,-0.22,9.9,-0.01
68f65b23c658f28f7d09379c,2025-10-20T15:54:11.931Z,raspberrypi,-0.02,0,-0.01,39.19,14.92,39.19,-0.07,-0.01,0.15,-0.22,9.9,-0.01,9.27,-43.76,11.28,0.19,10.02,0.02,33112.02,2025-10-06T07:11:52.026Z,-0.02,0,-0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.19,10.02,0.02,-0.07,-0.01,0.15,-0.22,9.9,-0.01
68f65b23c658f28f7d09379e,2025-10-20T15:54:11.940Z,raspberrypi,1,0.09,-0.24,9.84,-0.01,0,11.28,0.24,9.98,0.01,-0.06,0,-0.01,39.19,14.92,39.19,9.27,-43.76,33112.03,2025-10-06T07:11:52.034Z,1,0.09,-0.24,9.84,-0.01,0,-0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.24,9.98,0.01,-0.06,0
68f65b23c658f28f7d0937a0,2025-10-20T15:54:11.947Z,raspberrypi,1,0.09,-0.24,9.84,-0.01,0,11.28,0.24,9.98,0.01,-0.06,0,-0.01,39.19,14.92,39.19,9.27,-43.76,33112.04,2025-10-06T07:11:52.042Z,1,0.09,-0.24,9.84,-0.01,0,-0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.24,9.98,0.01,-0.06,0
68f65b23c658f28f7d0937a2,2025-10-20T15:54:11.955Z,raspberrypi,-0.01,-0.07,-0.02,0.07,-0.26,9.84,9.27,-43.76,11.28,0.17,10.01,-0.01,-0.01,0.01,-0.01,39.19,14.92,39.19,33112.05,2025-10-06T07:11:52.050Z,-0.01,-0.07,-0.02,0.07,-0.26,9.84,-0.01,0.01,-0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.17,10.01,-0.01
68f65b23c658f28f7d0937a5,2025-10-20T15:54:11.964Z,raspberrypi,-0.01,-0.07,-0.02,0.07,-0.26,9.84,9.27,-43.76,11.28,0.17,10.01,-0.01,-0.01,0.01,-0.01,39.19,14.92,39.19,33112.05,2025-10-06T07:11:52.058Z,-0.01,-0.07,-0.02,0.07,-0.26,9.84,-0.01,0.01,-0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.17,10.01,-0.01
68f65b23c658f28f7d0937a8,2025-10-20T15:54:11.972Z,raspberrypi,-0.07,0.2,10.04,0,-0.04,-0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.12,-0.22,9.82,0,-0.03,0.01,33112.06,2025-10-06T07:11:52.066Z,-0.07,0.2,10.04,0,-0.04,-0.01,0.12,-0.22,9.82,0,-0.03,0.01,39.19,14.92,39.19,9.27,-43.76,11.28
68f65b23c658f28f7d0937aa,2025-10-20T15:54:11.982Z,raspberrypi,-0.07,0.2,10.04,0,-0.04,-0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.12,-0.22,9.82,0,-0.03,0.01,33112.07,2025-10-06T07:11:52.074Z,-0.07,0.2,10.04,0,-0.04,-0.01,0.12,-0.22,9.82,0,-0.03,0.01,39.19,14.92,39.19,9.27,-43.76,11.28
68f65b23c658f28f7d0937ac,2025-10-20T15:54:11.988Z,raspberrypi,7,-43.76,11.28,0.19,10.01,0.01,0.01,0.02,39.19,14.92,39.19,9.27,-0.07,-0.01,0.02,-0.24,9.82,-0.02,33112.08,2025-10-06T07:11:52.083Z,7,-43.76,11.28,0.19,10.01,0.01,-0.07,-0.01,0.02,-0.24,9.82,-0.02,0.01,0.02,39.19,14.92,39.19,9.27
68f65b23c658f28f7d0937ae,2025-10-20T15:54:11.996Z,raspberrypi,7,-43.76,11.28,0.19,10.01,0.01,0.01,0.02,39.19,14.92,39.19,9.27,-0.07,-0.01,0.02,-0.24,9.82,-0.02,33112.09,2025-10-06T07:11:52.091Z,7,-43.76,11.28,0.19,10.01,0.01,-0.07,-0.01,0.02,-0.24,9.82,-0.02,0.01,0.02,39.19,14.92,39.19,9.27
68f65b24c658f28f7d0937b1,2025-10-20T15:54:12.005Z,raspberrypi,14.92,39.19,9.27,-43.76,11.28,0.22,9.78,0,0.02,-0.01,39.19,14.92,10.07,0,-0.07,-0.01,0.14,-0.26,33112.09,2025-10-06T07:11:52.099Z,14.92,39.19,9.27,-43.76,11.28,0.22,10.07,0,-0.07,-0.01,0.14,-0.26,9.78,0,0.02,-0.01,39.19,14.92
68f65b24c658f28f7d0937b4,2025-10-20T15:54:12.013Z,raspberrypi,14.92,39.19,9.27,-43.76,11.28,0.22,9.78,0,0.02,-0.01,39.19,14.92,10.07,0,-0.07,-0.01,0.14,-0.26,33112.1,2025-10-06T07:11:52.107Z,14.92,39.19,9.27,-43.76,11.28,0.22,10.07,0,-0.07,-0.01,0.14,-0.26,9.78,0,0.02,-0.01,39.19,14.92
68f65b24c658f28f7d0937b6,2025-10-20T15:54:12.021Z,raspberrypi,2,0,39.19,14.92,39.19,9.27,-0.01,0.07,-0.27,9.88,-0.04,-0.02,-43.76,11.28,0.21,10.05,0.02,-0.05,33112.11,2025-10-06T07:11:52.115Z,2,0,39.19,14.92,39.19,9.27,-43.76,11.28,0.21,10.05,0.02,-0.05,-0.01,0.07,-0.27,9.88,-0.04,-0.02
68f65b24c658f28f7d0937b8,2025-10-20T15:54:12.031Z,raspberrypi,2,0,39.19,14.92,39.19,9.27,-0.01,0.07,-0.27,9.88,-0.04,-0.02,-43.76,11.28,0.21,10.05,0.02,-0.05,33112.12,2025-10-06T07:11:52.124Z,2,0,39.19,14.92,39.19,9.27,-43.76,11.28,0.21,10.05,0.02,-0.05,-0.01,0.07,-0.27,9.88,-0.04,-0.02
68f65b24c658f28f7d0937ba,2025-10-20T15:54:12.037Z,raspberrypi,25,9.77,0.01,0.02,0,39.19,10.05,0.01,-0.04,-0.02,0.11,-0.23,14.92,39.19,9.27,-43.76,11.28,0.24,33112.13,2025-10-06T07:11:52.132Z,25,9.77,0.01,0.02,0,39.19,14.92,39.19,9.27,-43.76,11.28,0.24,10.05,0.01,-0.04,-0.02,0.11,-0.23
68f65b24c658f28f7d0937bd,2025-10-20T15:54:12.045Z,raspberrypi,25,9.77,0.01,0.02,0,39.19,10.05,0.01,-0.04,-0.02,0.11,-0.23,14.92,39.19,9.27,-43.76,11.28,0.24,33112.14,2025-10-06T07:11:52.140Z,25,9.77,0.01,0.02,0,39.19,14.92,39.19,9.27,-43.76,11.28,0.24,10.05,0.01,-0.04,-0.02,0.11,-0.23
68f65b24c658f28f7d0937c0,2025-10-20T15:54:12.053Z,raspberrypi,25,9.77,0.01,0.02,0,39.19,10.05,0.01,-0.04,-0.02,0.11,-0.23,14.92,39.19,9.27,-43.76,11.28,0.24,33112.14,2025-10-06T07:11:52.148Z,25,9.77,0.01,0.02,0,39.19,14.92,39.19,9.27,-43.76,11.28,0.24,10.05,0.01,-0.04,-0.02,0.11,-0.23
68f65b24c658f28f7d0937c2,2025-10-20T15:54:12.061Z,raspberrypi,3.76,11.28,0.17,10.05,0.01,-0.06,0.02,39.19,14.92,39.19,9.27,-43.76,0,0.03,-0.27,9.84,-0.01,0,33112.15,2025-10-06T07:11:52.156Z,3.76,11.28,0.17,10.05,0.01,-0.06,0,0.03,-0.27,9.84,-0.01,0,0.02,39.19,14.92,39.19,9.27,-43.76
68f65b24c658f28f7d0937c4,2025-10-20T15:54:12.070Z,raspberrypi,3.76,11.28,0.17,10.05,0.01,-0.06,0.02,39.19,14.92,39.19,9.27,-43.76,0,0.03,-0.27,9.84,-0.01,0,33112.16,2025-10-06T07:11:52.164Z,3.76,11.28,0.17,10.05,0.01,-0.06,0,0.03,-0.27,9.84,-0.01,0,0.02,39.19,14.92,39.19,9.27,-43.76
68f65b24c658f28f7d0937c6,2025-10-20T15:54:12.077Z,raspberrypi,39.19,9.27,-43.76,11.28,0.22,10.03,-0.04,-0.01,0,39.19,14.92,39.19,-0.01,-0.05,-0.01,0.07,-0.24,9.8,33112.17,2025-10-06T07:11:52.172Z,39.19,9.27,-43.76,11.28,0.22,10.03,-0.01,-0.05,-0.01,0.07,-0.24,9.8,-0.04,-0.01,0,39.19,14.92,39.19
68f65b24c658f28f7d0937c9,2025-10-20T15:54:12.086Z,raspberrypi,39.19,9.27,-43.76,11.28,0.22,10.03,-0.04,-0.01,0,39.19,14.92,39.19,-0.01,-0.05,-0.01,0.07,-0.24,9.8,33112.18,2025-10-06T07:11:52.180Z,39.19,9.27,-43.76,11.28,0.22,10.03,-0.01,-0.05,-0.01,0.07,-0.24,9.8,-0.04,-0.01,0,39.19,14.92,39.19
68f65b24c658f28f7d0937cc,2025-10-20T15:54:12.094Z,raspberrypi,0.02,39.19,14.92,39.19,9.27,-43.76,0.14,-0.23,9.75,0,0,0.01,11.28,0.18,10.02,0.02,-0.06,-0.01,33112.18,2025-10-06T07:11:52.188Z,0.02,39.19,14.92,39.19,9.27,-43.76,11.28,0.18,10.02,0.02,-0.06,-0.01,0.14,-0.23,9.75,0,0,0.01
68f65b24c658f28f7d0937ce,2025-10-20T15:54:12.102Z,raspberrypi,0.02,39.19,14.92,39.19,9.27,-43.76,0.14,-0.23,9.75,0,0,0.01,11.28,0.18,10.02,0.02,-0.06,-0.01,33112.19,2025-10-06T07:11:52.196Z,0.02,39.19,14.92,39.19,9.27,-43.76,11.28,0.18,10.02,0.02,-0.06,-0.01,0.14,-0.23,9.75,0,0,0.01
68f65b24c658f28f7d0937d0,2025-10-20T15:54:12.110Z,raspberrypi,9.82,0,0.01,-0.02,39.19,14.92,0.01,-0.05,0,0.14,-0.28,9.88,39.19,9.27,-43.76,11.28,0.23,10.04,33112.2,2025-10-06T07:11:52.205Z,9.82,0,0.01,-0.02,39.19,14.92,39.19,9.27,-43.76,11.28,0.23,10.04,0.01,-0.05,0,0.14,-0.28,9.88
68f65b24c658f28f7d0937d2,2025-10-20T15:54:12.118Z,raspberrypi,9.82,0,0.01,-0.02,39.19,14.92,0.01,-0.05,0,0.14,-0.28,9.88,39.19,9.27,-43.76,11.28,0.23,10.04,33112.21,2025-10-06T07:11:52.213Z,9.82,0,0.01,-0.02,39.19,14.92,39.19,9.27,-43.76,11.28,0.23,10.04,0.01,-0.05,0,0.14,-0.28,9.88
68f65b24c658f28f7d0937d5,2025-10-20T15:54:12.132Z,raspberrypi,1,0.07,-0.25,9.8,0,0.01,11.28,0.19,10.02,0.01,-0.04,0,0.02,39.19,14.92,39.19,9.27,-43.76,33112.22,2025-10-06T07:11:52.221Z,1,0.07,-0.25,9.8,0,0.01,0.02,39.19,14.92,39.19,9.27,-43.76,11.28,0.19,10.02,0.01,-0.04,0
68f65b24c658f28f7d0937d8,2025-10-20T15:54:12.134Z,raspberrypi,1,0.07,-0.25,9.8,0,0.01,11.28,0.19,10.02,0.01,-0.04,0,0.02,39.19,14.92,39.19,9.27,-43.76,33112.22,2025-10-06T07:11:52.229Z,1,0.07,-0.25,9.8,0,0.01,0.02,39.19,14.92,39.19,9.27,-43.76,11.28,0.19,10.02,0.01,-0.04,0
68f65b24c658f28f7d0937da,2025-10-20T15:54:12.143Z,raspberrypi,0,-0.08,0,0.08,-0.25,9.76,9.27,-43.76,11.28,0.18,10.04,0.01,-0.03,0,0.01,39.19,14.92,39.19,33112.23,2025-10-06T07:11:52.237Z,0,-0.08,0,0.08,-0.25,9.76,-0.03,0,0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.18,10.04,0.01
68f65b24c658f28f7d0937dc,2025-10-20T15:54:12.150Z,raspberrypi,0,-0.08,0,0.08,-0.25,9.76,9.27,-43.76,11.28,0.18,10.04,0.01,-0.03,0,0.01,39.19,14.92,39.19,33112.24,2025-10-06T07:11:52.245Z,0,-0.08,0,0.08,-0.25,9.76,-0.03,0,0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.18,10.04,0.01
68f65b24c658f28f7d0937df,2025-10-20T15:54:12.159Z,raspberrypi,0.21,10.04,0.02,-0.05,0.01,0.06,14.92,39.19,9.27,-43.76,11.28,0.19,-0.3,9.87,-0.03,0,0,39.19,33112.25,2025-10-06T07:11:52.253Z,0.21,10.04,0.02,-0.05,0.01,0.06,-0.3,9.87,-0.03,0,0,39.19,14.92,39.19,9.27,-43.76,11.28,0.19
68f65b24c658f28f7d0937e1,2025-10-20T15:54:12.167Z,raspberrypi,0.21,10.04,0.02,-0.05,0.01,0.06,14.92,39.19,9.27,-43.76,11.28,0.19,-0.3,9.87,-0.03,0,0,39.19,33112.26,2025-10-06T07:11:52.261Z,0.21,10.04,0.02,-0.05,0.01,0.06,-0.3,9.87,-0.03,0,0,39.19,14.92,39.19,9.27,-43.76,11.28,0.19
68f65b24c658f28f7d0937e4,2025-10-20T15:54:12.175Z,raspberrypi,6,11.28,0.21,10.12,0,-0.05,-0.03,39.19,14.92,39.19,9.27,-43.76,0,0.07,-0.27,9.85,0.02,0.01,33112.27,2025-10-06T07:11:52.270Z,6,11.28,0.21,10.12,0,-0.05,0,0.07,-0.27,9.85,0.02,0.01,-0.03,39.19,14.92,39.19,9.27,-43.76
68f65b24c658f28f7d0937e6,2025-10-20T15:54:12.183Z,raspberrypi,6,11.28,0.21,10.12,0,-0.05,-0.03,39.19,14.92,39.19,9.27,-43.76,0,0.07,-0.27,9.85,0.02,0.01,33112.27,2025-10-06T07:11:52.278Z,6,11.28,0.21,10.12,0,-0.05,0,0.07,-0.27,9.85,0.02,0.01,-0.03,39.19,14.92,39.19,9.27,-43.76
68f65b24c658f28f7d0937e8,2025-10-20T15:54:12.191Z,raspberrypi,6,11.28,0.21,10.12,0,-0.05,-0.03,39.19,14.92,39.19,9.27,-43.76,0,0.07,-0.27,9.85,0.02,0.01,33112.28,2025-10-06T07:11:52.286Z,6,11.28,0.21,10.12,0,-0.05,0,0.07,-0.27,9.85,0.02,0.01,-0.03,39.19,14.92,39.19,9.27,-43.76
68f65b24c658f28f7d0937ea,2025-10-20T15:54:12.199Z,raspberrypi,0.23,9.85,0,0.02,0,39.19,10.1,0,-0.05,0,0.11,-0.25,14.92,39.19,9.27,-43.76,11.28,0.16,33112.29,2025-10-06T07:11:52.294Z,0.23,9.85,0,0.02,0,39.19,14.92,39.19,9.27,-43.76,11.28,0.16,10.1,0,-0.05,0,0.11,-0.25
68f65b24c658f28f7d0937ed,2025-10-20T15:54:12.211Z,raspberrypi,0.23,9.85,0,0.02,0,39.19,10.1,0,-0.05,0,0.11,-0.25,14.92,39.19,9.27,-43.76,11.28,0.16,33112.3,2025-10-06T07:11:52.302Z,0.23,9.85,0,0.02,0,39.19,14.92,39.19,9.27,-43.76,11.28,0.16,10.1,0,-0.05,0,0.11,-0.25
68f65b24c658f28f7d0937f0,2025-10-20T15:54:12.217Z,raspberrypi,6,-0.01,0.08,-0.24,9.73,-0.02,-43.76,11.28,0.17,10,-0.01,-0.07,0.01,-0.01,39.19,14.92,39.19,9.27,33112.31,2025-10-06T07:11:52.310Z,6,-0.01,0.08,-0.24,9.73,-0.02,0.01,-0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.17,10,-0.01,-0.07
68f65b24c658f28f7d0937f2,2025-10-20T15:54:12.223Z,raspberrypi,6,-0.01,0.08,-0.24,9.73,-0.02,-43.76,11.28,0.17,10,-0.01,-0.07,0.01,-0.01,39.19,14.92,39.19,9.27,33112.31,2025-10-06T07:11:52.318Z,6,-0.01,0.08,-0.24,9.73,-0.02,0.01,-0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.17,10,-0.01,-0.07
68f65b24c658f28f7d0937f4,2025-10-20T15:54:12.236Z,raspberrypi,2,10.06,0.01,-0.05,0.01,0.12,14.92,39.19,9.27,-43.76,11.28,0.22,-0.23,9.78,0.02,0.02,-0.01,39.19,33112.32,2025-10-06T07:11:52.326Z,2,10.06,0.01,-0.05,0.01,0.12,-0.23,9.78,0.02,0.02,-0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.22
68f65b24c658f28f7d0937f7,2025-10-20T15:54:12.240Z,raspberrypi,2,10.06,0.01,-0.05,0.01,0.12,14.92,39.19,9.27,-43.76,11.28,0.22,-0.23,9.78,0.02,0.02,-0.01,39.19,33112.33,2025-10-06T07:11:52.335Z,2,10.06,0.01,-0.05,0.01,0.12,-0.23,9.78,0.02,0.02,-0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.22
